GLEntryNumber,GLPostingDate,JobNumber,Amount,GLAccountNumber,ExpenseType
44833,8/31/2016,903042,607.7600,4090,Supplies
44848,8/31/2016,4500,204.4200,4090,Supplies
44358,8/31/2016,3016,302.9800,4090,Supplies
44359,8/31/2016,3001,3.6000,4090,Supplies
44360,8/31/2016,3001,10.2500,4090,Supplies
44361,8/31/2016,3001,3.5800,4090,Supplies
44362,8/31/2016,3001,67.4000,4090,Supplies
44363,8/31/2016,3001,17.2200,4090,Supplies
44364,8/31/2016,3001,19.8600,4090,Supplies
44365,8/31/2016,3001,40.7300,4090,Supplies
44366,8/31/2016,3001,9.9000,4090,Supplies
44367,8/31/2016,3001,12.3900,4090,Supplies
44368,8/31/2016,3001,9.0000,4090,Supplies
44369,8/31/2016,3001,53.5800,4090,Supplies
44370,8/31/2016,3001,5.3300,4090,Supplies
44371,8/31/2016,3001,134.6400,4090,Supplies
44372,8/31/2016,3001,1807.1100,4090,Supplies
44373,8/31/2016,3001,584.4000,4090,Supplies
44374,8/31/2016,3001,9.9000,4090,Supplies
44375,8/31/2016,3001,17.5700,4090,Supplies
44376,8/31/2016,3001,162.4000,4090,Supplies
44377,8/31/2016,3001,73.6000,4090,Supplies
44378,8/31/2016,3001,12.6000,4090,Supplies
44379,8/31/2016,3001,42.8700,4090,Supplies
44380,8/31/2016,3001,14.9500,4090,Supplies
44381,8/31/2016,3001,49.2700,4090,Supplies
44382,8/31/2016,3001,428.4000,4090,Supplies
44383,8/31/2016,3001,14.9500,4090,Supplies
44384,8/31/2016,3001,176.5200,4090,Supplies
44385,8/31/2016,3001,8.0000,4090,Supplies
44386,8/31/2016,3001,46.8200,4090,Supplies
44387,8/31/2016,3001,64.7100,4090,Supplies
44388,8/31/2016,3001,10.5000,4090,Supplies
44389,8/31/2016,3001,24.0200,4090,Supplies
44390,8/31/2016,3001,8.1500,4090,Supplies
44391,8/31/2016,3001,541.4000,4090,Supplies
44392,8/31/2016,5011,29.4000,4090,Supplies
44393,8/31/2016,5011,47.1200,4090,Supplies
44394,8/31/2016,5011,41.7500,4090,Supplies
44395,8/31/2016,5011,50.9800,4090,Supplies
44396,8/31/2016,5011,37.8400,4090,Supplies
44397,8/31/2016,5011,29.4000,4090,Supplies
44398,8/31/2016,905011,157.9500,4090,Supplies
44399,8/31/2016,3012,6.1500,4090,Supplies
44400,8/31/2016,3012,117.3000,4090,Supplies
44401,8/31/2016,3012,41.7500,4090,Supplies
44402,8/31/2016,3012,101.9600,4090,Supplies
44403,8/31/2016,3012,47.1200,4090,Supplies
44404,8/31/2016,3045,490.8000,4090,Supplies
44405,8/31/2016,3045,83.5000,4090,Supplies
44406,8/31/2016,3045,141.3600,4090,Supplies
44407,8/31/2016,3045,75.6800,4090,Supplies
44408,8/31/2016,3045,152.9400,4090,Supplies
44409,8/31/2016,3037,39.2000,4090,Supplies
44410,8/31/2016,3037,55.5200,4090,Supplies
44411,8/31/2016,3037,156.4000,4090,Supplies
44412,8/31/2016,3037,108.1000,4090,Supplies
44413,8/31/2016,3037,47.1200,4090,Supplies
44414,8/31/2016,3037,62.3200,4090,Supplies
44415,8/31/2016,3037,289.1400,4090,Supplies
44416,8/31/2016,3037,72.5000,4090,Supplies
44417,8/31/2016,3008,110.1000,4090,Supplies
44418,8/31/2016,3008,39.2000,4090,Supplies
44419,8/31/2016,3008,530.0900,4090,Supplies
44420,8/31/2016,3008,94.2400,4090,Supplies
44421,8/31/2016,3008,19.6000,4090,Supplies
44422,8/31/2016,3008,41.7500,4090,Supplies
44423,8/31/2016,3008,37.8400,4090,Supplies
44424,8/31/2016,3016,4.9000,4090,Supplies
44425,8/31/2016,3017,1.2300,4090,Supplies
44426,8/31/2016,3017,9.8000,4090,Supplies
44427,8/31/2016,3016,41.7500,4090,Supplies
44428,8/31/2016,1041,50.9800,4090,Supplies
44429,8/31/2016,3016,80.2900,4090,Supplies
44430,8/31/2016,3017,64.7100,4090,Supplies
44431,8/31/2016,3017,54.0500,4090,Supplies
44432,8/31/2016,3017,37.8400,4090,Supplies
44433,8/31/2016,3017,27.7600,4090,Supplies
44434,8/31/2016,3017,4.1500,4090,Supplies
44435,8/31/2016,3006,4.1500,4090,Supplies
44436,8/31/2016,3016,11.3000,4090,Supplies
44437,8/31/2016,1041,1.2400,4090,Supplies
44438,8/31/2016,1041,4.9000,4090,Supplies
44439,8/31/2016,3016,16.9700,4090,Supplies
44440,8/31/2016,3016,10.6800,4090,Supplies
44441,8/31/2016,3017,5.0000,4090,Supplies
44442,8/31/2016,3006,5.0000,4090,Supplies
44443,8/31/2016,1041,5.0000,4090,Supplies
44444,8/31/2016,3016,16.5700,4090,Supplies
44445,8/31/2016,3017,10.0000,4090,Supplies
44446,8/31/2016,3006,10.0000,4090,Supplies
44447,8/31/2016,1041,10.0000,4090,Supplies
44448,8/31/2016,3016,9.8000,4090,Supplies
44449,8/31/2016,3016,6.3900,4090,Supplies
44450,8/31/2016,3017,4.1500,4090,Supplies
44451,8/31/2016,3006,4.1500,4090,Supplies
44452,8/31/2016,3016,103.0100,4090,Supplies
44453,8/31/2016,3017,103.0000,4090,Supplies
44454,8/31/2016,1041,35.5000,4090,Supplies
44455,8/31/2016,3016,27.0000,4090,Supplies
44456,8/31/2016,3017,29.2800,4090,Supplies
44457,8/31/2016,3006,27.0000,4090,Supplies
44458,8/31/2016,3001,49.0000,4090,Supplies
44459,8/31/2016,3001,109.9200,4090,Supplies
44460,8/31/2016,3001,46.5700,4090,Supplies
44461,8/31/2016,3001,2.4600,4090,Supplies
44462,8/31/2016,3001,6.5200,4090,Supplies
44463,8/31/2016,3001,196.0000,4090,Supplies
44464,8/31/2016,3001,938.4000,4090,Supplies
44465,8/31/2016,3001,444.1600,4090,Supplies
44466,8/31/2016,3001,50.9800,4090,Supplies
44467,8/31/2016,3001,37.8400,4090,Supplies
44468,8/31/2016,3001,108.1000,4090,Supplies
44469,8/31/2016,3001,145.0000,4090,Supplies
44470,8/31/2016,3001,18.6600,4090,Supplies
44471,8/31/2016,3001,14.4500,4090,Supplies
46307,8/31/2016,4500,187.4500,4220,Vehicle Insurance
44732,8/31/2016,3024,70.5300,4275,FICA
44733,8/31/2016,3024,16.5000,4276,Medicare Tax
44734,8/31/2016,3024,56.3600,4280,Workmans Compensation
45351,9/1/2016,1003,-6245.5400,4000,General Labor
45352,9/1/2016,1012,-367.5000,4000,General Labor
45353,9/1/2016,1025,-544.6000,4000,General Labor
45354,9/1/2016,1027,-135.6500,4000,General Labor
45355,9/1/2016,1032,-769.1100,4000,General Labor
45356,9/1/2016,1033,-2071.8900,4000,General Labor
45357,9/1/2016,1034,-542.0600,4000,General Labor
45358,9/1/2016,1035,-288.0000,4000,General Labor
45359,9/1/2016,1037,-179.7500,4000,General Labor
45360,9/1/2016,1041,-412.2900,4000,General Labor
45361,9/1/2016,1051,-1521.7900,4000,General Labor
45362,9/1/2016,1053,-1498.1000,4000,General Labor
45363,9/1/2016,1055,-168.9300,4000,General Labor
45364,9/1/2016,1056,-321.6100,4000,General Labor
45365,9/1/2016,1057,-1743.0600,4000,General Labor
45366,9/1/2016,1058,-1922.6400,4000,General Labor
45367,9/1/2016,1060,-612.0000,4000,General Labor
45368,9/1/2016,1061,-776.5200,4000,General Labor
45369,9/1/2016,1065,-253.9800,4000,General Labor
45370,9/1/2016,1066,-4145.6600,4000,General Labor
45371,9/1/2016,1067,-60.4000,4000,General Labor
45372,9/1/2016,1068,-230.0400,4000,General Labor
45373,9/1/2016,1069,-302.0000,4000,General Labor
45374,9/1/2016,1070,-142.9200,4000,General Labor
45375,9/1/2016,1071,-321.6000,4000,General Labor
45376,9/1/2016,1072,-224.9100,4000,General Labor
45377,9/1/2016,1073,-24.5500,4000,General Labor
45378,9/1/2016,1074,-132.1700,4000,General Labor
45379,9/1/2016,1075,-105.0000,4000,General Labor
45380,9/1/2016,1076,-96.0000,4000,General Labor
45381,9/1/2016,1077,-288.0000,4000,General Labor
45382,9/1/2016,3000,-17899.5400,4000,General Labor
45383,9/1/2016,3001,-27092.9400,4000,General Labor
45384,9/1/2016,3003,-1407.0200,4000,General Labor
45385,9/1/2016,3004,-717.5000,4000,General Labor
45386,9/1/2016,3005,-24.1500,4000,General Labor
45387,9/1/2016,3006,-428.4200,4000,General Labor
45388,9/1/2016,3008,-5746.0600,4000,General Labor
45389,9/1/2016,3012,-6786.4300,4000,General Labor
45390,9/1/2016,3015,-515.2000,4000,General Labor
45391,9/1/2016,3016,-3798.6000,4000,General Labor
45392,9/1/2016,3017,-754.2900,4000,General Labor
45393,9/1/2016,3020,-24.1500,4000,General Labor
45394,9/1/2016,3022,-66.0000,4000,General Labor
45395,9/1/2016,3025,-4900.5800,4000,General Labor
45396,9/1/2016,3027,-7129.2800,4000,General Labor
45397,9/1/2016,3029,-2243.8000,4000,General Labor
45398,9/1/2016,3031,-1146.5500,4000,General Labor
45399,9/1/2016,3033,-2614.9500,4000,General Labor
45400,9/1/2016,3034,-364.5000,4000,General Labor
45401,9/1/2016,3036,-193.8500,4000,General Labor
45402,9/1/2016,3037,-4689.7600,4000,General Labor
45403,9/1/2016,3038,-4250.9500,4000,General Labor
45404,9/1/2016,3039,-252.0000,4000,General Labor
45405,9/1/2016,3040,-3169.1200,4000,General Labor
45406,9/1/2016,3042,-986.5400,4000,General Labor
45407,9/1/2016,3043,-586.1700,4000,General Labor
45408,9/1/2016,3045,-14819.1700,4000,General Labor
45409,9/1/2016,3046,-1180.2200,4000,General Labor
45410,9/1/2016,4035,-289.8000,4000,General Labor
45411,9/1/2016,4037,-588.9600,4000,General Labor
45412,9/1/2016,4040,-1302.8500,4000,General Labor
45413,9/1/2016,4044,-33.8000,4000,General Labor
45414,9/1/2016,5000,-1110.5600,4000,General Labor
45415,9/1/2016,5011,-6855.5300,4000,General Labor
45416,9/1/2016,6008,-928.0000,4000,General Labor
45417,9/1/2016,6026,-128.0000,4000,General Labor
45418,9/1/2016,7001,-1105.9800,4000,General Labor
45419,9/1/2016,7002,-151.5400,4000,General Labor
45420,9/1/2016,7006,-108.0000,4000,General Labor
45421,9/1/2016,7009,-1024.0000,4000,General Labor
45422,9/1/2016,8006,-256.0000,4000,General Labor
45423,9/1/2016,8007,-128.0000,4000,General Labor
45424,9/1/2016,8009,-128.0000,4000,General Labor
45425,9/1/2016,8030,-64.0000,4000,General Labor
45426,9/1/2016,8031,-64.0000,4000,General Labor
45427,9/1/2016,9003,-387.0000,4000,General Labor
45428,9/1/2016,901057,-184.3800,4000,General Labor
45429,9/1/2016,901058,-36.0000,4000,General Labor
45430,9/1/2016,903000,-1395.6000,4000,General Labor
45431,9/1/2016,903001,-955.1400,4000,General Labor
45432,9/1/2016,906008,-40.0000,4000,General Labor
44762,9/1/2016,3024,-1137.6000,4000,General Labor
45433,9/1/2016,1003,-15.4500,4001,Overtime
45434,9/1/2016,1025,-0.2100,4001,Overtime
45435,9/1/2016,1033,-2.0100,4001,Overtime
45436,9/1/2016,1034,-1.1500,4001,Overtime
45437,9/1/2016,1055,-4.9100,4001,Overtime
45438,9/1/2016,1061,-0.4200,4001,Overtime
45439,9/1/2016,1066,-120.8000,4001,Overtime
45440,9/1/2016,1071,-34.4400,4001,Overtime
45441,9/1/2016,3000,-112.3900,4001,Overtime
45442,9/1/2016,3001,-137.4000,4001,Overtime
45443,9/1/2016,3003,-4.1900,4001,Overtime
45444,9/1/2016,3004,-18.0500,4001,Overtime
45445,9/1/2016,3008,-5.5600,4001,Overtime
45446,9/1/2016,3012,-4.5400,4001,Overtime
45447,9/1/2016,3016,-3.8900,4001,Overtime
45448,9/1/2016,3025,-1.4400,4001,Overtime
45449,9/1/2016,3027,-27.5500,4001,Overtime
45450,9/1/2016,3029,-52.8500,4001,Overtime
45451,9/1/2016,3031,-33.0000,4001,Overtime
45452,9/1/2016,3033,-43.9800,4001,Overtime
45453,9/1/2016,3037,-4.4500,4001,Overtime
45454,9/1/2016,3038,-24.0000,4001,Overtime
45455,9/1/2016,3040,-0.7700,4001,Overtime
45456,9/1/2016,3045,-85.9300,4001,Overtime
45457,9/1/2016,3046,-1.1400,4001,Overtime
45458,9/1/2016,4037,-3.9600,4001,Overtime
45459,9/1/2016,5000,-3.5100,4001,Overtime
45460,9/1/2016,5011,-90.0600,4001,Overtime
45461,9/1/2016,7001,-21.6800,4001,Overtime
45462,9/1/2016,903000,-32.8500,4001,Overtime
45463,9/1/2016,906008,-20.0000,4001,Overtime
45464,9/1/2016,3012,-400.0000,4005,Vacation Labor
44763,9/1/2016,4500,-9176.1600,4010,Other
44968,9/1/2016,8006,6837.0000,4020,Subcontractor Labor
45033,9/1/2016,3024,408.0000,4020,Subcontractor Labor
47774,9/1/2016,8006,75.0000,4020,Subcontractor Labor
53920,9/1/2016,4500,708.7500,4020,Subcontractor Labor
66375,9/1/2016,3024,325.0000,4020,Subcontractor Labor
66608,9/1/2016,1033,441.0000,4020,Subcontractor Labor
45043,9/1/2016,8031,1250.0000,4020,Subcontractor Labor
45470,9/1/2016,8006,6127.3100,4020,Subcontractor Labor
67457,9/1/2016,3024,408.0000,4020,Subcontractor Labor
68384,9/1/2016,4044,200.0000,4020,Subcontractor Labor
46115,9/1/2016,3012,150.0000,4090,Supplies
46116,9/1/2016,3045,270.0000,4090,Supplies
66622,9/1/2016,3024,345.6000,4090,Supplies
66623,9/1/2016,3024,352.0800,4090,Supplies
66624,9/1/2016,3024,138.1200,4090,Supplies
66625,9/1/2016,3024,9.5800,4090,Supplies
66367,9/1/2016,3001,190.8900,4090,Supplies
66368,9/1/2016,3029,49.0400,4090,Supplies
66369,9/1/2016,3016,59.9900,4090,Supplies
66370,9/1/2016,3006,39.9900,4090,Supplies
66371,9/1/2016,3017,49.4900,4090,Supplies
66372,9/1/2016,3020,15.6000,4090,Supplies
66376,9/1/2016,3045,705.8000,4090,Supplies
66377,9/1/2016,3045,32.5200,4090,Supplies
66378,9/1/2016,3045,103.2500,4090,Supplies
66379,9/1/2016,3045,73.6000,4090,Supplies
66380,9/1/2016,3045,117.6800,4090,Supplies
66381,9/1/2016,3008,140.0000,4090,Supplies
66382,9/1/2016,3008,468.2000,4090,Supplies
66383,9/1/2016,3008,103.2500,4090,Supplies
66384,9/1/2016,3008,103.0400,4090,Supplies
66385,9/1/2016,3001,396.0000,4090,Supplies
66386,9/1/2016,3003,144.0000,4090,Supplies
66387,9/1/2016,3003,11.8000,4090,Supplies
66388,9/1/2016,3003,11.8000,4090,Supplies
66389,9/1/2016,3003,4.5000,4090,Supplies
66390,9/1/2016,3003,21.9000,4090,Supplies
66391,9/1/2016,3003,19.2000,4090,Supplies
66392,9/1/2016,3003,60.6200,4090,Supplies
66393,9/1/2016,7001,6.5000,4090,Supplies
66394,9/1/2016,7001,22.5000,4090,Supplies
66395,9/1/2016,7001,22.5000,4090,Supplies
66396,9/1/2016,7001,9.4500,4090,Supplies
66397,9/1/2016,7001,103.2500,4090,Supplies
66398,9/1/2016,7001,88.0000,4090,Supplies
66399,9/1/2016,7001,401.5800,4090,Supplies
66400,9/1/2016,1061,164.2600,4090,Supplies
66401,9/1/2016,1061,19.8600,4090,Supplies
66402,9/1/2016,1061,4.7300,4090,Supplies
66403,9/1/2016,1061,156.8600,4090,Supplies
66404,9/1/2016,1061,55.0500,4090,Supplies
66599,9/1/2016,3027,7897.5000,4090,Supplies
53994,9/1/2016,3024,108.6200,4090,Supplies
53995,9/1/2016,4500,48.9100,4090,Supplies
53996,9/1/2016,3003,79.1500,4090,Supplies
53997,9/1/2016,3045,79.0000,4090,Supplies
45034,9/1/2016,3016,39.9700,4090,Supplies
45035,9/1/2016,3001,102.6400,4090,Supplies
45036,9/1/2016,3036,9.0000,4090,Supplies
45037,9/1/2016,3017,29.9900,4090,Supplies
45038,9/1/2016,3020,9.0000,4090,Supplies
45039,9/1/2016,3029,49.8000,4090,Supplies
45040,9/1/2016,1041,29.6000,4090,Supplies
45041,9/1/2016,5011,260.0000,4090,Supplies
45042,9/1/2016,3024,865.0000,4090,Supplies
44965,9/1/2016,4500,52.8500,4100,Other
53998,9/1/2016,3038,35.0000,4120,Other
53999,9/1/2016,4500,70.0000,4120,Other
54001,9/1/2016,3000,24.1500,4160,Equipment Repairs
54002,9/1/2016,3037,11.4400,4160,Equipment Repairs
54003,9/1/2016,4500,88.7200,4160,Equipment Repairs
54004,9/1/2016,4500,864.0600,4170,Other
44951,9/1/2016,3000,60.9400,4180,Other
54005,9/1/2016,3000,183.3700,4200,Vehicle Maintenance
54006,9/1/2016,4500,1340.3500,4200,Vehicle Maintenance
54007,9/1/2016,3024,25.8000,4205,Vehicle Gas & Oil
44744,9/1/2016,3024,-70.5300,4275,FICA
44745,9/1/2016,3024,-16.5000,4276,Medicare Tax
44746,9/1/2016,3024,-56.3600,4280,Workmans Compensation
40466,9/1/2016,4500,6115.2200,4281,Non-budgeted taxes and insurance
54014,9/1/2016,4500,152.0000,4645,Other
44967,9/2/2016,8006,525.0000,4020,Subcontractor Labor
48091,9/2/2016,1003,49.5000,4090,Supplies
48092,9/2/2016,1003,12.8000,4090,Supplies
48093,9/2/2016,1003,4.8000,4090,Supplies
48094,9/2/2016,1003,118.7000,4090,Supplies
48095,9/2/2016,1003,32.5200,4090,Supplies
48096,9/2/2016,1003,4.8000,4090,Supplies
48097,9/2/2016,1003,157.8000,4090,Supplies
48098,9/2/2016,1003,19.2000,4090,Supplies
48099,9/2/2016,1003,73.6000,4090,Supplies
48100,9/2/2016,1003,103.2500,4090,Supplies
48101,9/2/2016,1003,59.0000,4090,Supplies
48102,9/2/2016,1003,45.0800,4090,Supplies
48103,9/2/2016,1003,25.2000,4090,Supplies
48104,9/2/2016,1003,25.2000,4090,Supplies
48105,9/2/2016,1003,49.5000,4090,Supplies
66293,9/2/2016,3008,60.8800,4090,Supplies
66294,9/2/2016,3008,39.2000,4090,Supplies
66295,9/2/2016,3008,126.2400,4090,Supplies
66296,9/2/2016,3008,94.2400,4090,Supplies
66297,9/2/2016,3008,19.6000,4090,Supplies
66298,9/2/2016,3008,37.3200,4090,Supplies
66299,9/2/2016,3008,101.9600,4090,Supplies
66300,9/2/2016,3045,29.4000,4090,Supplies
66301,9/2/2016,3045,222.0800,4090,Supplies
66302,9/2/2016,3045,290.0000,4090,Supplies
66303,9/2/2016,3045,654.4000,4090,Supplies
66304,9/2/2016,7001,14.7000,4090,Supplies
66305,9/2/2016,7001,78.2000,4090,Supplies
66306,9/2/2016,7001,34.3000,4090,Supplies
66307,9/2/2016,7001,83.5800,4090,Supplies
66308,9/2/2016,3003,61.4400,4090,Supplies
66309,9/2/2016,3003,250.6000,4090,Supplies
66310,9/2/2016,3025,24.5000,4090,Supplies
66311,9/2/2016,3025,14.7000,4090,Supplies
66312,9/2/2016,3025,27.4800,4090,Supplies
66313,9/2/2016,3025,273.7000,4090,Supplies
66314,9/2/2016,3025,549.3600,4090,Supplies
66315,9/2/2016,3025,183.1200,4090,Supplies
66316,9/2/2016,3025,145.0000,4090,Supplies
66405,9/2/2016,3046,105.8700,4090,Supplies
66406,9/2/2016,3046,99.6800,4090,Supplies
66407,9/2/2016,3046,18.0000,4090,Supplies
66408,9/2/2016,3046,12.6000,4090,Supplies
66409,9/2/2016,3046,35.4000,4090,Supplies
66410,9/2/2016,3046,42.8700,4090,Supplies
66411,9/2/2016,3046,94.6800,4090,Supplies
66412,9/2/2016,904040,19.2000,4090,Supplies
66413,9/2/2016,904040,54.8100,4090,Supplies
66414,9/2/2016,904040,180.0000,4090,Supplies
66415,9/2/2016,904040,90.3000,4090,Supplies
66416,9/2/2016,904040,36.6200,4090,Supplies
66600,9/2/2016,3001,150.0000,4170,Other
43767,9/4/2016,1003,147.6000,4000,General Labor
43768,9/4/2016,1053,44.0000,4000,General Labor
43769,9/4/2016,3016,100.0000,4000,General Labor
43770,9/4/2016,3025,120.7500,4000,General Labor
43771,9/4/2016,3037,100.0000,4000,General Labor
43772,9/4/2016,3045,200.0000,4000,General Labor
43642,9/4/2016,1003,4945.8300,4000,General Labor
43643,9/4/2016,1012,525.0000,4000,General Labor
43644,9/4/2016,1025,680.6000,4000,General Labor
43645,9/4/2016,1027,167.8400,4000,General Labor
43646,9/4/2016,1032,926.3600,4000,General Labor
43647,9/4/2016,1033,2463.8500,4000,General Labor
43648,9/4/2016,1034,680.7700,4000,General Labor
43649,9/4/2016,1035,360.0000,4000,General Labor
43650,9/4/2016,1037,222.9800,4000,General Labor
43651,9/4/2016,1041,545.9400,4000,General Labor
43652,9/4/2016,1051,1843.2400,4000,General Labor
43653,9/4/2016,1053,1916.6900,4000,General Labor
43654,9/4/2016,1055,231.9300,4000,General Labor
43655,9/4/2016,1056,377.8100,4000,General Labor
43656,9/4/2016,1057,1897.3700,4000,General Labor
43657,9/4/2016,1058,2404.7200,4000,General Labor
43658,9/4/2016,1060,756.0000,4000,General Labor
43659,9/4/2016,1061,1786.0300,4000,General Labor
43660,9/4/2016,1065,312.3000,4000,General Labor
43661,9/4/2016,1066,5255.3900,4000,General Labor
43662,9/4/2016,1067,60.3800,4000,General Labor
43663,9/4/2016,1068,264.9600,4000,General Labor
43664,9/4/2016,1069,376.0000,4000,General Labor
43665,9/4/2016,1070,178.9200,4000,General Labor
43666,9/4/2016,1071,465.6000,4000,General Labor
43667,9/4/2016,1072,332.9100,4000,General Labor
43668,9/4/2016,1073,32.6000,4000,General Labor
43669,9/4/2016,1074,164.2200,4000,General Labor
43670,9/4/2016,1075,126.0000,4000,General Labor
43671,9/4/2016,1076,96.0000,4000,General Labor
