VendorNumber,VendorName,Address1,Address2,City,State,Zip,ContactName,Attention,Phone,Fax,ContactEmailAddress,TypeOf1099,TaxID,Active,StandardTermDayNum,NumDaysForDiscount,PercentDiscount,DefaultMemoLine,DefaultPayUseTax,ShippingTerms,PaymentTerms,Notes,Taxable,AccountNumber,CityStateZip,YN1099,Terms,Discount,ActiveYN,VendorType,ParentVendorNumber,POBlanketNumber,MinorityTypeDescription,MinorityCertificationNumber,CCName,UserCodeLabel1,UserCodeLabel2,UserCodeLabel3,UserCodeLabel4,UserCodeLabel5,UserCodeLabel6,UserCodeLabel7,UserCodeLabel8,UserCodeLabel9,UserCodeLabel10,UserCodeLabel11,UserCodeLabel12,UserCodeLabel13,UserCodeLabel14,UserCodeLabel15,UserCodeLabel16,UserCodeLabel17,UserCodeLabel18,UserCodeLabel19,UserCodeLabel20,UserCodeLabel21,UserCodeLabel22,UserCodeLabel23,UserCodeLabel24,UserCodeLabel25,UserCodeLabel26,UserCode1,UserCode2,UserCode3,UserCode4,UserCode5,UserCode6,UserCode7,UserCode8,UserCode9,UserCode10,UserCode11,UserCode12,UserCode13,UserCode14,UserCode15,UserCode16,UserCode17,UserCode18,UserCode19,UserCode20,UserCode21,UserCode22,UserCode23,UserCode24,UserCode25,UserCode26,DefaultPaymentMethod,DefaultPaymentVendorNumber,DefaultPaymentCCVendorNumber,CreditReconciledDate,PrintAPMemoLine,ReconcileVendor
1058,BEACON GLASS CO,620 N. OLD DIXIE HWY,,JUPITER,FL,33458,,,,,,,,1,30,,,,0,,,,0,,"JUPITER, FL 33458",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1067,BOILER REPAIR SERVICE,3389 SHERIDAN ST,SUITE 298,HOLLYWOOD,FL,33021,,,,,,,,1,30,,,,0,,,,0,,"HOLLYWOOD, FL 33021",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NACHA,,,,0,0
1072,BROWARD   COUNTY TAX COLLECTOR,115 S. ANDREWS AVE,RM A-100,FORT LAUDERDALE,FL,33301,,,,,,,,1,30,,,,0,,,,0,,"FORT LAUDERDALE, FL 33301",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1073,BROWARD COUNTY CLERK OF COURTS,201 SE 6TH STREET,,FORT LAUDERDALE,FL,33301,,,,,,,,1,30,,,,0,,,,0,,"FORT LAUDERDALE, FL 33301",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1074,BROWARD COUNTY REVENUE COLLECTOR,P.O Box 29009,,Fort Lauderdale,FL,33302-9009,,,,,,,,1,30,,,,0,,,,0,,"Fort Lauderdale, FL 33302-9009",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1084,CANON BUSINESS SOLUTIONS,15004 COLLECTIONS CENTER DRIVE,,CHICAGO,IL,60693-0149,,,,,,,,1,30,,,,0,,,,0,,"CHICAGO, IL 60693-0149",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1091,CHEM AQUA,23261 Network Place,,Chicago,IL,60673,,CHEMAQUA,,,,,,1,30,,,,0,,,,0,,"Chicago, IL 60673",None,Day 30, ,Yes,Subcontractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NACHA,,,,0,0
1099,CITY OF FORT LAUDERDALE PARKING,CITATION PAYMENT CENTER,P.O. BOX 31631,TAMPA,FL,33631-3631,,,,,,,,1,30,,,,0,,,,0,,"TAMPA, FL 33631-3631",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1101,CITY OF FORT LAUDERDALE TREASURY,P.O. BOX 31687,,TAMPA,FL,33631-3687,,,,,,,,1,30,,,,0,,,,0,,"TAMPA, FL 33631-3687",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1103,CITY OF MIAMI,PAYMENT PROCESSING CENTER,POX BOX105206,Atlanta,GA,30348-5206,,,,,,,,1,30,,,,0,,,,0,,"Atlanta, GA 30348-5206",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1112,COMCAST,P.O. BOX 530098,,ATLANTA,GA,30353-0098,,,,,,,,1,30,,,,0,,,,0,,"ATLANTA, GA 30353-0098",None,Day 30, ,Yes,Utiliites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1117,CONSTRUCTIVELY CLEAN LLC,10851 S. Ocean Drive,Lot #34,Jensen Beach,FL,34957,,Lynn Barnette,,,,,51-0646323,1,30,,,,0,,,,0,,"Jensen Beach, FL 34957",None,Day 30, ,Yes,Subcontractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1118,COSGROVE ENTERPRISES,14300 NW 77th CT,,MIAMI LAKES,FL,33016,,JOSE MERCADO,3058205600,,,,,1,30,,,,0,,,,0,,"MIAMI LAKES, FL 33016",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NACHA,,,,0,0
1122,DADEPAPER COMPANY,9601 NW 112TH AVE,PO BOX 523666,MIAMI,FL,33178,,,,,,,,1,30,,,,0,,,,0,,"MIAMI, FL 33178",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NACHA,,,,0,0
1123,DASZKAL BOLTON,2401 NW BOCA RATON BLVD,,BOCA RATON,FL,33431-6632,,,,,,,,1,30,,,,0,,,,0,,"BOCA RATON, FL 33431-6632",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1130,DEVCON SECURITY,P.O. BOX 538083,,ATLANTA,GA,30353-8083,,,,,,,,1,30,,,,0,,,,0,,"ATLANTA, GA 30353-8083",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1131,"DIRECT SUPPLIES WAREHOUSE, INC",100 HANCOCK STREET,,LODI,NJ,07644,,,,,,,,1,30,,,,0,,,,0,,"LODI, NJ 07644",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1138,DML CONSTRUCTION GROUP,43 S. POWERLINE RD,Suite #428,POMPANO BEACH,FL,33069,,,9542246925,,,,47-5407345,1,30,,,,0,,,,0,,"POMPANO BEACH, FL 33069",None,Day 30, ,Yes,Subcontractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1140,DOWN UNDER TANK TESTING OF FLORID,13301 SW 132 Ave,Suite 112,Miami,FL,33186,,Veronica,7862276045,,,,,1,30,,,,0,,,,0,,"Miami, FL 33186",None,Day 30, ,Yes,Subcontractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NACHA,,,,0,0
1142,DRY-CONCEPTS,4190 SOUTH UNIVERSITY DRIVE,,DAVIE,FL,33328,,,,,,,,1,30,,,,0,,,,0,,"DAVIE, FL 33328",None,Day 30, ,Yes,Subcontractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1147,Enterprise,,,Kansas City,MO,64180-0089,,,,,,,,1,30,,,,0,,,,0,,"Kansas City, MO 64180-0089",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1149,EVOQUA,EVOQUA WATER TECHNOLOGIES LLC,28563 Network Place,Chicago,IL,60673,,,,,,,,1,30,,,,0,,,,0,,"Chicago, IL 60673",None,Day 30, ,Yes,Subcontractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NACHA,,,,0,0
1153,FAU FOUNDATION,"777 GLADES ROAD,","Deans Office, College of Business",BOCA RATON,FL,33431,,,,,,,,1,30,,,,0,,,,0,139442,"BOCA RATON, FL 33431",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1154,Florida Atlantic University,"777 GLADES ROAD, BLDG 69",,BOCA RATON,FL,33431,,Linda Kersich,,,,,,1,30,,,,0,,,,0,,"BOCA RATON, FL 33431",None,Day 30, ,Yes,Utiliites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1155,FAU TRAFFIC AND PARKING,"777 GLADES ROAD, BLDG 69",,BOCA RATON,FL,33431,,,,,,,,1,30,,,,0,,,,0,,"BOCA RATON, FL 33431",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1157,FCCI INSURANCE GROUP,6300 UNIVERSITY PARKWAY,,SARASOTA,FL,34240,,,,,,,,1,30,,,,0,,,,0,,"SARASOTA, FL 34240",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1159,FEDEX,FedEx,P.O. BOX 660481,DALLAS,TX,75266-0481,,,,,,,,1,30,,,,0,,,,0,,"DALLAS, TX 75266-0481",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1164,FLORDA ATLANTIC UNIVERSITY,FAU-PHYSICAL PLANT,777 GLADES RD BLDG 5 RM 212,BOCA RATON,FL,33431,,,,,,,,1,30,,,,0,,,,0,,"BOCA RATON, FL 33431",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1165,FLORIDA ATLANTIC UNIVERSITY (VEN),BLDG #22 - ROOM #245,777 GLADES ROAD,BOCA RATON,FL,33431,,Linda R. Kersich,5622972356,,,,,1,30,,,,0,,,,0,,"BOCA RATON, FL 33431",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1166,FLORIDA ATLANTIC UNIVERSITY FOUND,777 GLADES ROAD,AD 295,BOCA ROTAN,FL,33431,,,,,,,,1,30,,,,0,,,,0,,"BOCA ROTAN, FL 33431",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1167,FLORIDA DEPARTMENT OF REVENUE,5050 W TENNESSEE STEET,,TALLAHASSEE,FL,32399-0110,,,,,,,,1,30,,,,0,,,,0,,"TALLAHASSEE, FL 32399-0110",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1168,Florida Department of State,,,,,,,,,,,,,1,30,,,,0,,,,0,,,None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1169,FLORIDA DEPARTMENT OF TRANSPORTAT,TOLL-BY-PLATE,PO BOX 880089,BOCA RATON,FL,33488-0089,,,,,,,,1,30,,,,0,,,,0,,"BOCA RATON, FL 33488-0089",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1171,Florida Int'l University,11200 Sw 8th St,,Miami,FL,33199,,,3053482187,,,,,1,30,,,,0,,,,0,,"Miami, FL 33199",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1172,FPL,GENERAL MAIL FACILITY,,MIAMI,FL,33188-0001,,,,,,,,1,30,,,,0,,,,0,,"MIAMI, FL 33188-0001",None,Day 30, ,Yes,Utiliites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1174,"FRANK H. FURMAN, INC",P.O. Box 1927,,Pompano Beach,FL,33061,,,,,,,,1,30,,,,0,,,,0,,"Pompano Beach, FL 33061",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1176,FUELMAN,PO BOX 105080,,ATLANTA,GA,30348-5080,,,,,,,,1,30,,,,0,,,,0,,"ATLANTA, GA 30348-5080",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1177,"Furniture Systems Plus, Inc",1840 NW 65th Ave,,Plantation,FL,33313,,Bemnet Berhane,9545813289,9545814659,,,,1,30,,,,0,,,,0,,"Plantation, FL 33313",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1179,"GLOBAL BACKGROUND SCREENING, INC",20900 NE 30TH AVE,SUITE 843,AVENTURA,FL,33180,,,,,,,,1,30,,,,0,,,,0,,"AVENTURA, FL 33180",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1185,H&E EQUIPMENT SERVICE,PO BOX 849850,,DALLAS,TX,75284,,Nestor Campbell,9549734023,9549734158,,,,1,30,,,,0,,,,0,,"DALLAS, TX 75284",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1336,STAPLES,Dept ATL,PO Box 405386,Atlanta,GA,30384-5386,,,,,,,,1,30,,,,0,,,,0,,"Atlanta, GA 30384-5386",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1337,STATE OF FLORIDA,Florida State Disbursement Unit,P.O. Box 8500,Tallahassee,FL,32314-8500,,,,,,,,1,30,,,,0,,,,0,,"Tallahassee, FL 32314-8500",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1345,TAGIT SOLUTIONS,5201 GREAT AMERICA PARKWAY,SUITE 320,SANTA CLARA,CA,95054,,,,,,,,1,30,,,,0,,,,0,,"SANTA CLARA, CA 95054",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1349,"TEAM SOFTWARE, INC",407 S 27TH AVE,,OMAHA,NE,68131,,,,,,,,1,30,,,,0,,,,0,,"OMAHA, NE 68131",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1351,TECSERV,3980 PEMBROKE ROAD,,HOLLYWOOD,FL,33021,,,,,,,,1,30,,,,0,,,,0,,"HOLLYWOOD, FL 33021",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1352,TENNANT COMPANY,P.O. Box 71414,,Chicago,IL,60694,,,,,,,,1,30,,,,0,,,,0,,"Chicago, IL 60694",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1358,THE WORKSS CLEAN INC,6555 W 26TH DRIVE #12,,HIALEAH,FL,33316,,,,,,,47-3510591,1,30,,,,0,,,,0,,"HIALEAH, FL 33316",None,Day 30, ,Yes,Subcontractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1359,"TOTAL JANITORIAL SUPPLIES, INC",225 GOULSBY BLVD.,,DEERFIELD BEACH,FL,33442,,,,,,,,1,30,,,,0,,,,0,,"DEERFIELD BEACH, FL 33442",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1362,U.S. HEATH WORKS MEDICAL GROUP,P.O. BOX 404473,,ATLANTA,GA,30384,,,,,,,,1,30,,,,0,,,,0,,"ATLANTA, GA 30384",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1363,Advantica,P.O. Box 798349,,Saint Louis,MO,63126-0510,,,,3148494830,,,,1,30,,,,0,,,,0,,"Saint Louis, MO 63126-0510",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1367,UNITED STATES TREASURY,PO BOX 105017,,ATLANTA,GA,30348-5017,,,,,,,,1,30,,,,0,,,,0,,"ATLANTA, GA 30348-5017",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1373,VERIZON WIRELESS,,,PO BOX,,06601-08,,,,,,,,1,30,,,,0,,,,0,,"PO BOX,   06601-08",None,Day 30, ,Yes,Utiliites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1374,"VESTY NETWORKS, LLC",4912 Skidmore St,,Raleigh,NC,27609-4516,,,,,,,,1,30,,,,0,,,,0,,"Raleigh, NC 27609-4516",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1375,VP PRESS,3934 Davie Blvd.,,Ft. lauderdale,FL,33312,,Vinnie,9545817531,9543210152,,,,1,30,,,,0,,,,0,,"Ft. lauderdale, FL 33312",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1378,W W GRAINGER,DEPARTMENT 876500851,P.O. BOX 419267,KANSAS CITY,MO,64141-6267,,,,,,,,1,30,,,,0,,,,0,,"KANSAS CITY, MO 64141-6267",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1379,"WATER BOY, INC.",4454 19TH STREET COURT EAST,,BRADENTON,FL,34203,,,,,,,,1,30,,,,0,,,,0,,"BRADENTON, FL 34203",None,Day 30, ,Yes,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1380,WINDSOR INDUSTRIES,1351 WEST STANFORD AVENUE,,ENGLEWOOD,CO,80110,,,,,,,,1,30,,,,0,,,,0,,"ENGLEWOOD, CO 80110",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1187,Handy Dave's Services,101412 W MCNAB ROAD,,TAMARAC,FL,33321,,,,,,,,1,30,,,,0,,,,0,,"TAMARAC, FL 33321",None,Day 30, ,Yes,Subcontractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1189,HD SUPPLY,PO BOX 509058,,SAN DIEGO,CA,92150,,,,,,,,1,30,,,,0,,,,0,,"SAN DIEGO, CA 92150",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1194,ID WHOLESALER,1501 NW 163RD ST,,MIAMI,FL,33169,,,,,,,,1,30,,,,0,,,,0,,"MIAMI, FL 33169",None,Day 30, ,Yes,Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1197,INFINITY ROOFING & SHEET METAL IN,1150 SW 10TH AVENUE,SUITE 201W,POMPANO BEACH,FL,33069,,,,,,,,1,30,,,,0,,,,0,,"POMPANO BEACH, FL 33069",None,Day 30, ,Yes,Subcontractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1198,INLET ELECTRIC INC OF JUPITER,17964 APRIL LANE,,JUPITER,FL,33458,,,,,,,,1,30,,,,0,,,,0,,"JUPITER, FL 33458",None,Day 30, ,Yes,Subcontractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
1203,INTERNAL REVENUE SERVICE,,,KANSAS CITY,MO,64999-0202,,,,,,,,1,30,,,,0,,,,0,,"KANSAS CITY, MO 64999-0202",None,Day 30, ,Yes,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Check,,,,0,0
